Cluster,Pergunta,Palavra chave,Score
19,fazer alteracao limite operacional cambio cliente,operacional,0.6149259758614736
7,quais coberturas seguro auto,seguro,0.6493747535505315
38,cancelar seguro protegido cheque especial,seguro,0.5699184548693033
48,solicitacao estorno seguro cartao protegido,solicitacao,0.632155415299251
19,endosso seguro carro,seguro,0.7765167908663235
16,cadastrar cliente pessoa juridica operar cambio,pessoa,0.47683229464403803
52,pode usar cpf celular,usar,0.6417505978584225
6,cliente atrasando mes seguro fica inativo,seguro,0.4948268357193478
42,carencia morte natural seguro vida,vida,0.5908818525911607
12,faz autorizar seguro internet banking,seguro,0.5436078121773052
57,enviar ordem cambio,ordem,0.7745085899098744
34,fazer alteracao seguro patrimonial,seguro,0.6207873448875408
20,passo passo envio cambio app,passo,0.8375597110736004
42,carencia seguro vida,vida,0.8778770598068079
71,realizar endosso seguro,seguro,0.7202273220540799
20,consultar liberacao ordem pagamento cambio,pagamento,0.6111556634313836
56,consultar seguro cartao,seguro,0.7468950942842963
43,preciso imprimir proposta seguro,seguro,0.6846704220289171
0,recebimento cambio fechamento,recebimento,0.6865852112653257
62,abrir chamado seguro,seguro,0.7289682223207494
41,quais beneficios assistencia horas seguro auto,seguro,0.5527662031434635
30,efetuo vinculo cartao adicional cpf cliente,vinculo,0.5513057273416837
6,seguro indevido contestar,seguro,0.7256079694798279
74,cancelamento seguro debitado,seguro,0.7699376546064074
25,valor maximo valor segurado seguro,valor,0.7099521335037267
6,alteracao dependente seguro,seguro,0.7835501572395333
62,abrir chamado sobre seguro nao debitado,sobre,0.5306895812010436
32,solicitar segunda via apolice seguro,via,0.5447048874207087
29,regras seguro vida empresa,vida,0.7620162551052805
10,solicitar apolice seguro auto,solicitar,0.6865262607234203
3,assistencias seguro residencial,seguro,0.8303396209125387
27,seguro auto central atendimento,seguro,0.6791457588961599
43,consultar proposta seguro cancelada,seguro,0.7227507218962439
4,cancelar seguro cartao credito,seguro,0.67516926762099
53,sinistro,sinistro,1.0
2,cadastarar cambio,cambio,0.9426503083061593
70,contratar seguro vida autonomo,vida,0.8216497320771827
6,cotar seguro agricola,seguro,0.7147161323243633
74,cancelamento seguro vida socio,vida,0.74413090104277
37,liberacao investimento contrato cambio,liberacao,0.6048852021004917
72,seguro cliente nao debitando,seguro,0.7456774946532898
0,fechamento cambio regularizado,regularizado,0.7850592454809251
4,cancelar seguro,seguro,0.9333222901041052
76,cancelar seguro feito previdencia,seguro,0.6874958103891142
34,contratar seguro patrimonial,seguro,0.7394068164945777
28,seguro protecao vida acidente pessoais,vida,0.6651485197804468
28,quais coberturas seguro acidentes pessoais,seguro,0.5110389735023474
6,cartao credito seguro nao correntista,seguro,0.7121423885714475
41,seguro auto liberty convencional,seguro,0.7302807833357421
9,consulta fechamento cambio,fechamento,0.6865852112653257
31,tarifa cambio ordem pagamento,tarifa,0.637210690315917
4,cancelar seguro vida,vida,0.7336339785205742
61,cadastrar cliente operar cambio,operar,0.6253230458000211
22,seguro protecao residencial sinistro instalacao eletrica cobre,sinistro,0.49613405751075695
11,contratar seguro viagem,viagem,0.7277396364321749
29,cancela seguro vida empresa,vida,0.8086484333833746
