Cluster,Pergunta,Palavra chave,Score
58,fazer alteracao limite operacional cambio cliente,operacional,0.6149259758614736
69,quais coberturas seguro auto,seguro,0.6493747535505315
30,cancelar seguro protegido cheque especial,seguro,0.5699184548693033
76,solicitacao estorno seguro cartao protegido,solicitacao,0.632155415299251
14,endosso seguro carro,seguro,0.7765167908663235
41,cadastrar cliente pessoa juridica operar cambio,pessoa,0.47683229464403803
19,pode usar cpf celular,usar,0.6417505978584225
42,cliente atrasando mes seguro fica inativo,seguro,0.4948268357193478
56,carencia morte natural seguro vida,vida,0.5908818525911607
85,faz autorizar seguro internet banking,seguro,0.5436078121773052
66,enviar ordem cambio,ordem,0.7745085899098744
37,fazer alteracao seguro patrimonial,seguro,0.6207873448875408
77,passo passo envio cambio app,passo,0.8375597110736004
56,carencia seguro vida,vida,0.8778770598068079
11,realizar endosso seguro,seguro,0.7202273220540799
66,consultar liberacao ordem pagamento cambio,pagamento,0.6111556634313836
4,consultar seguro cartao,seguro,0.7468950942842963
16,preciso imprimir proposta seguro,seguro,0.6846704220289171
22,recebimento cambio fechamento,recebimento,0.6865852112653257
71,abrir chamado seguro,seguro,0.7289682223207494
69,quais beneficios assistencia horas seguro auto,seguro,0.5527662031434635
42,efetuo vinculo cartao adicional cpf cliente,vinculo,0.5513057273416837
32,seguro indevido contestar,seguro,0.7256079694798279
2,cancelamento seguro debitado,seguro,0.7699376546064074
32,valor maximo valor segurado seguro,valor,0.7099521335037267
32,alteracao dependente seguro,seguro,0.7835501572395333
71,abrir chamado sobre seguro nao debitado,sobre,0.5306895812010436
15,solicitar segunda via apolice seguro,via,0.5447048874207087
3,regras seguro vida empresa,vida,0.7620162551052805
88,solicitar apolice seguro auto,solicitar,0.6865262607234203
29,assistencias seguro residencial,seguro,0.8303396209125387
20,seguro auto central atendimento,seguro,0.6791457588961599
16,consultar proposta seguro cancelada,seguro,0.7227507218962439
32,cancelar seguro cartao credito,seguro,0.67516926762099
48,sinistro,sinistro,1.0
58,cadastarar cambio,cambio,0.9426503083061593
28,contratar seguro vida autonomo,vida,0.8216497320771827
32,cotar seguro agricola,seguro,0.7147161323243633
53,cancelamento seguro vida socio,vida,0.74413090104277
90,liberacao investimento contrato cambio,liberacao,0.6048852021004917
59,seguro cliente nao debitando,seguro,0.7456774946532898
22,fechamento cambio regularizado,regularizado,0.7850592454809251
32,cancelar seguro,seguro,0.9333222901041052
73,cancelar seguro feito previdencia,seguro,0.6874958103891142
37,contratar seguro patrimonial,seguro,0.7394068164945777
27,seguro protecao vida acidente pessoais,vida,0.6651485197804468
27,quais coberturas seguro acidentes pessoais,seguro,0.5110389735023474
72,cartao credito seguro nao correntista,seguro,0.7121423885714475
8,seguro auto liberty convencional,seguro,0.7302807833357421
67,consulta fechamento cambio,fechamento,0.6865852112653257
66,tarifa cambio ordem pagamento,tarifa,0.637210690315917
56,cancelar seguro vida,vida,0.7336339785205742
41,cadastrar cliente operar cambio,operar,0.6253230458000211
48,seguro protecao residencial sinistro instalacao eletrica cobre,sinistro,0.49613405751075695
46,contratar seguro viagem,viagem,0.7277396364321749
3,cancela seguro vida empresa,vida,0.8086484333833746
58,book natureza cambio,natureza,0.7032541010236706
27,quais beneficios seguro acidentes pessoais,seguro,0.5690624806537773
45,cancelar seguro pessoa fisica,seguro,0.7115267450810884
78,trocar cpf documentos adicionais,trocar,0.5748729404345069
11,realizar cambio aplicativo,realizar,0.7863240593806707
93,recebimento ordem cambio,recebimento,0.7373052454230759
81,desbloquear cartao bloqueio irregularidade cpf junto receita federal,receita,0.41985934500198563
16,fazer proposta seguro auto cancelada,seguro,0.6796730194916315
15,via apolice seguro residencial,via,0.6460729918479864
75,limite cpf desconto cheque,limite,0.5989759218483138
42,seguro dental cliente,seguro,0.8801493810811901
37,endosso seguro patrimonial,seguro,0.7063377332283042
32,cancelar seguro empresarial generico,seguro,0.6770854273575453
37,cancelamento seguro patrimonial,seguro,0.7573189673114029
33,cancelamento seguro,seguro,0.9440855305366559
48,declaro sinistro,sinistro,0.8493771164040665
66,ordem pagamento cambio,pagamento,0.6868995785962037
4,cancelar seguro cartao protegido,seguro,0.6134311820132593
27,seguro acidentes pessoais sob medida,sob,0.5536299707580655
77,envio remessa seguro,seguro,0.7096897011811241
88,solicitar via proposta adesao seguro cartao protegido,via,0.5147534795569607
29,assistencias seguro residencial,seguro,0.8303396209125387
