Cluster,Pergunta,Palavra chave,Score
54,fazer alteracao limite operacional cambio cliente,operacional,0.6149259758614736
11,quais coberturas seguro auto,seguro,0.6493747535505315
27,cancelar seguro protegido cheque especial,seguro,0.5699184548693033
39,solicitacao estorno seguro cartao protegido,solicitacao,0.632155415299251
5,endosso seguro carro,seguro,0.7765167908663235
33,cadastrar cliente pessoa juridica operar cambio,pessoa,0.47683229464403803
66,pode usar cpf celular,usar,0.6417505978584225
8,cliente atrasando mes seguro fica inativo,seguro,0.4948268357193478
34,carencia morte natural seguro vida,vida,0.5908818525911607
34,faz autorizar seguro internet banking,seguro,0.5436078121773052
20,enviar ordem cambio,ordem,0.7745085899098744
1,fazer alteracao seguro patrimonial,seguro,0.6207873448875408
54,passo passo envio cambio app,passo,0.8375597110736004
34,carencia seguro vida,vida,0.8778770598068079
3,realizar endosso seguro,seguro,0.7202273220540799
32,consultar liberacao ordem pagamento cambio,pagamento,0.6111556634313836
76,consultar seguro cartao,seguro,0.7468950942842963
14,preciso imprimir proposta seguro,seguro,0.6846704220289171
18,recebimento cambio fechamento,recebimento,0.6865852112653257
57,abrir chamado seguro,seguro,0.7289682223207494
11,quais beneficios assistencia horas seguro auto,seguro,0.5527662031434635
8,efetuo vinculo cartao adicional cpf cliente,vinculo,0.5513057273416837
34,seguro indevido contestar,seguro,0.7256079694798279
6,cancelamento seguro debitado,seguro,0.7699376546064074
48,valor maximo valor segurado seguro,valor,0.7099521335037267
34,alteracao dependente seguro,seguro,0.7835501572395333
57,abrir chamado sobre seguro nao debitado,sobre,0.5306895812010436
45,solicitar segunda via apolice seguro,via,0.5447048874207087
19,regras seguro vida empresa,vida,0.7620162551052805
65,solicitar apolice seguro auto,solicitar,0.6865262607234203
43,assistencias seguro residencial,seguro,0.8303396209125387
41,seguro auto central atendimento,seguro,0.6791457588961599
14,consultar proposta seguro cancelada,seguro,0.7227507218962439
59,cancelar seguro cartao credito,seguro,0.67516926762099
74,sinistro,sinistro,1.0
54,cadastarar cambio,cambio,0.9426503083061593
34,contratar seguro vida autonomo,vida,0.8216497320771827
34,cotar seguro agricola,seguro,0.7147161323243633
36,cancelamento seguro vida socio,vida,0.74413090104277
24,liberacao investimento contrato cambio,liberacao,0.6048852021004917
56,seguro cliente nao debitando,seguro,0.7456774946532898
18,fechamento cambio regularizado,regularizado,0.7850592454809251
59,cancelar seguro,seguro,0.9333222901041052
47,cancelar seguro feito previdencia,seguro,0.6874958103891142
1,contratar seguro patrimonial,seguro,0.7394068164945777
34,seguro protecao vida acidente pessoais,vida,0.6651485197804468
10,quais coberturas seguro acidentes pessoais,seguro,0.5110389735023474
35,cartao credito seguro nao correntista,seguro,0.7121423885714475
65,seguro auto liberty convencional,seguro,0.7302807833357421
55,consulta fechamento cambio,fechamento,0.6865852112653257
32,tarifa cambio ordem pagamento,tarifa,0.637210690315917
59,cancelar seguro vida,vida,0.7336339785205742
33,cadastrar cliente operar cambio,operar,0.6253230458000211
74,seguro protecao residencial sinistro instalacao eletrica cobre,sinistro,0.49613405751075695
16,contratar seguro viagem,viagem,0.7277396364321749
19,cancela seguro vida empresa,vida,0.8086484333833746
54,book natureza cambio,natureza,0.7032541010236706
10,quais beneficios seguro acidentes pessoais,seguro,0.5690624806537773
59,cancelar seguro pessoa fisica,seguro,0.7115267450810884
66,trocar cpf documentos adicionais,trocar,0.5748729404345069
3,realizar cambio aplicativo,realizar,0.7863240593806707
17,recebimento ordem cambio,recebimento,0.7373052454230759
66,desbloquear cartao bloqueio irregularidade cpf junto receita federal,receita,0.41985934500198563
14,fazer proposta seguro auto cancelada,seguro,0.6796730194916315
7,via apolice seguro residencial,via,0.6460729918479864
66,limite cpf desconto cheque,limite,0.5989759218483138
8,seguro dental cliente,seguro,0.8801493810811901
1,endosso seguro patrimonial,seguro,0.7063377332283042
59,cancelar seguro empresarial generico,seguro,0.6770854273575453
1,cancelamento seguro patrimonial,seguro,0.7573189673114029
36,cancelamento seguro,seguro,0.9440855305366559
74,declaro sinistro,sinistro,0.8493771164040665
32,ordem pagamento cambio,pagamento,0.6868995785962037
44,cancelar seguro cartao protegido,seguro,0.6134311820132593
53,seguro acidentes pessoais sob medida,sob,0.5536299707580655
54,envio remessa seguro,seguro,0.7096897011811241
45,solicitar via proposta adesao seguro cartao protegido,via,0.5147534795569607
43,assistencias seguro residencial,seguro,0.8303396209125387
42,swift cambio consultar,swift,0.8159788244814167
41,central atendimento seguro cancelamento,seguro,0.6636583340622227
60,taxa iof envio remessa cambio,taxa,0.5534549066116051
18,fechamento cambio internet,internet,0.7552629854072797
23,funciona campanha novembro azul seguro vida,vida,0.5032611731183615
47,trata seguro previdencia,trata,0.7410465677536694
20,enviar ordem cambio procuracao,procuracao,0.6123289123960081
50,procedimento reagendar seguro auto,seguro,0.6742367562023569
34,carencia seguro vida,vida,0.8778770598068079
68,consultar classe bonus seguro auto,seguro,0.6355654397588738
57,abertura chamado seguros,seguros,0.6269744305384533
47,fazer cancelamento seguro feito junto previdencia,seguro,0.5345751937367966
1,alterar endereco seguro patrimonial,seguro,0.6553282477859477
52,liquidacao ordem cambio,ordem,0.7562818955452428
54,servicos cambio,servicos,0.9277112926143989
40,consultar canal contratado seguro,seguro,0.6521283467394878
50,reagendar vistoria seguro auto,vistoria,0.7076216995565129
54,envio envio cambio,envio,0.9672345561517304
34,teimoninha seguro vida,vida,0.9185030012381201
42,consultar cambio cliente recebeu,recebeu,0.7555989753053562
51,tarifa cobrada operacoes cambio,tarifa,0.6035461753494391
18,fechamento cambio,fechamento,0.8936446173074342
54,fomulario cambio,fomulario,0.9426503083061593
13,estornar seguro cartao,seguro,0.8847164673665526
59,cancelar seguro,seguro,0.9333222901041052
16,contratar seguro viagem agencia,viagem,0.7254472632864152
17,recebimento cambio,recebimento,0.9031990598522613
9,cancelamento seguro cheque protegido,seguro,0.6314253968005333
34,envio seguro,seguro,0.9666173627049752
66,cpf outro vinculado,vinculado,0.6714191997590658
66,fazer transferencia investimentos cpf,transferencia,0.6163921528174843
17,recebimento ordem pagamento cambio,recebimento,0.6214299849838573
43,seguro residencial tamanho imovel,tamanho,0.6607966196114315
44,seguro cartao protegido completo,seguro,0.7715560256747127
57,abrir chamado cancelar seguro vida,vida,0.6286747450059311
14,consultar proposta seguro,seguro,0.7580708607250187
16,contratar seguro caminhao,seguro,0.8557028800342815
48,valor seguro cartao,valor,0.8048777891104619
5,fazer cambio,fazer,0.8390180387621189
69,compreende cobertura roubo furto seguro auto,seguro,0.5306124954215907
54,emissao cambio,emissao,0.9177817981068
47,refere cobranca seguro previdencia,seguro,0.6314639430243129
76,consultar solicitacao vistoria seguro auto,vistoria,0.6147006380704019
1,consigo incluir outdoor seguro patrimonial,seguro,0.5897425540178517
24,liberacao investimento bloqueado operacao cambio,operacao,0.5554675183220885
43,saber calculo inadimplencia seguro residencial,seguro,0.599559456820529
